Maharastra_SUB-DISTRICT,KARNATAKA_SUB-DISTRICT,ODISHA_SUB-DISTRICT,ANDHRA PRADESH_SUB-DISTRICT,WEST BENGAL_SUB-DISTRICT,MADHYA PRADESH_SUB-DISTRICT,TAMIL NADU_SUB-DISTRICT,UTTAR PRADESH_SUB-DISTRICT,RAJASTHAN_SUB-DISTRICT,PUNJAB_SUB-DISTRICT,KERALA_SUB-DISTRICT,BIHAR_SUB-DISTRICT,HARYANA_SUB-DISTRICT,HIMACHAL PRADESH_SUB-DISTRICT,ARUNACHAL PRADESH_SUB-DISTRICT,ASSAM_SUB-DISTRICT,GUJARAT_SUB-DISTRICT,DELHI_SUB-DISTRICT,CHHATTISGARH_SUB-DISTRICT,GOA_SUB-DISTRICT,TRIPURA_SUB-DISTRICT,JHARKHAND_SUB-DISTRICT,UTTARAKHAND_SUB-DISTRICT
,,Loisinga,Wardhannapet,,,,,,,,Maner,Nawada,,,,,,,,,,
,,Tushura,Sangam,,,,,,,,Dinapur-Cum-Khagaul,Nardiganj,,,,,,,,,,
,,Patnagarh,Geesugonda,,,,,,,,Patna Rural,Warisaliganj,,,,,,,,,,
,,Khaprakhol,Narsampet,,,,,,,,Sampatchak,Kashi Chak,,,,,,,,,,
,,Turekela,Kothagudem,,,,,,,,Phulwari,Pakribarawan,,,,,,,,,,
,,Belpara,Gudur,,,,,,,,Bihta,Kawakol,,,,,,,,,,
,,Saintala,Chennaraopet,,,,,,,,Naubatpur,Roh,,,,,,,,,,
,,Kantabanji,Nekkonda,,,,,,,,Bikram,Gobindpur,,,,,,,,,,
,,Bangomunda,Parvathagiri,,,,,,,,Dulhin Bazar,Akbarpur,,,,,,,,,,
,,Sindhekela,Thorrur,,,,,,,,Paliganj,Hisua,,,,,,,,,,
,,Titlagarh,Nellikudur,,,,,,,,Masaurhi,Narhat,,,,,,,,,,
,,Nuapada,Kesamudram,,,,,,,,Dhanarua,Meskaur,,,,,,,,,,
,,Jonk,Mahabubabad,,,,,,,,Punpun,Sirdala,,,,,,,,,,
,,Komna,Narsimhulapet,,,,,,,,Fatwah,Rajauli,,,,,,,,,,
,,Khariar,Maripeda,,,,,,,,Daniawan,Jamui,,,,,,,,,,
,,Boden,Kuravi,,,,,,,,Khusrupur,Islamnagar Aliganj,,,,,,,,,,
,,Sinapali,Dornakal,,,,,,,,Bakhtiarpur,Sikandra,,,,,,,,,,
,,Kalahandi,Khammam,,,,,,,,Athmalgola,Barhat,,,,,,,,,,
,,Kesinga,Wazeed,,,,,,,,Belchhi,Lakshmipur,,,,,,,,,,
,,Madanpur Rampur,Venkatapuram,,,,,,,,Barh,Jhajha,,,,,,,,,,
,,Narala,Pinapaka,,,,,,,,Pandarak,Gidhaur,,,,,,,,,,
,,Lanjigarh,Cherla,,,,,,,,Ghoswari,Khaira,,,,,,,,,,
,,Biswanathpur,Manuguru,,,,,,,,Mokameh,Sono,,,,,,,,,,
,,Kegaon,Aswapuram,,,,,,,,Bhojpur,Chakai,,,,,,,,,,
,,Junagarh,Dummugudem,,,,,,,,Shahpur,Jehanabad,,,,,,,,,,
,,Golamunda,Bhadrachalam,,,,,,,,Arrah,Ratni Faridpur,,,,,,,,,,
,,Dharamgarh,Kunavaram,,,,,,,,Koilwar,Kako,,,,,,,,,,
,,Kokasara,Chintur,,,,,,,,Sandesh,Modanganj,,,,,,,,,,
,,Jayapatna,Vararamachandrapuram,,,,,,,,Udwant Nagar,Ghoshi,,,,,,,,,,
,,Thuamul Rampur,Velairpadu,,,,,,,,Behea,Makhdumpur,,,,,,,,,,
,,Ambadala,Kukunoor,,,,,,,,Piro,Hulasganj,,,,,,,,,,
,,Muniguda,Burgampahad,,,,,,,,Charpokhari,Arwal,,,,,,,,,,
,,Chandrapur,Palwancha,,,,,,,,Garhani,Kaler,,,,,,,,,,
,,Bishamakatak,Tekulapalle,,,,,,,,Agiaon,Karpi,,,,,,,,,,
,,Kalyanasingpur,Yellandu,,,,,,,,Tarari,Sonbhadra Banshi Suryapur,,,,,,,,,,
,,Kashipur,Bayyaram,,,,,,,,Sahar,Kurtha,,,,,,,,,,
,,Andirakanch,Garla,,,,,,,,Buxar,gurugram,,,,,,,,,,
,,Tikiri,Singareni,,,,,,,,Simri,,,,,,,,,,,
,,Doraguda,Kamepalle,,,,,,,,Chakki,,,,,,,,,,,
,,Seskhal,Julurpad,,,,,,,,Barhampur,,,,,,,,,,,
,,Gunupur,Chandrugonda,,,,,,,,Chaugain,,,,,,,,,,,
,,Gudari,Mulkalapalle,,,,,,,,Kesath,,,,,,,,,,,
,,Puttasing,Aswaraopeta,,,,,,,,Dumraon,,,,,,,,,,,
,,Nabarangapur,Dammapeta,,,,,,,,Rajpur,,,,,,,,,,,
,,Raighar,Sathupalle,,,,,,,,Itarhi,,,,,,,,,,,
,,Kundei,Penuballi,,,,,,,,Nawanagar,,,,,,,,,,,
,,Umarkote,Enkuru,,,,,,,,Kaimur,,,,,,,,,,,
,,Chandahandi,Thirumalayapalem,,,,,,,,Ramgarh,,,,,,,,,,,
,,Jharigan,Kusumanchi,,,,,,,,Nuaon,,,,,,,,,,,
,,Dabugan,Mudigonda,,,,,,,,Kudra,,,,,,,,,,,
,,Paparahandi,Nelakondapalle,,,,,,,,Mohania,,,,,,,,,,,
,,Kodinga,Chinthakani,,,,,,,,Durgawati,,,,,,,,,,,
,,Kosagumuda,Konijerla,,,,,,,,Chand,,,,,,,,,,,
,,Tentulikhunti,Tallada,,,,,,,,Chainpur,,,,,,,,,,,
,,Khatiguda,Kallur,,,,,,,,Bhabua,,,,,,,,,,,
,,Koraput,Wyra,,,,,,,,Rampur,,,,,,,,,,,
,,Kotpad,Bonakal,,,,,,,,Adhaura,,,,,,,,,,,
,,Boriguma,Madhira,,,,,,,,Rohtas,,,,,,,,,,,
,,Bhairabsingipur,Yerrupalem,,,,,,,,Kochas,,,,,,,,,,,
,,Dasamantapur,Vemsoor,,,,,,,,Dinara,,,,,,,,,,,
,,Lakshmipur,Srikakulam,,,,,,,,Dawath,,,,,,,,,,,
,,Narayanpatana,Veeraghattam,,,,,,,,Suryapura,,,,,,,,,,,
,,Bandhugaon,Seethampeta,,,,,,,,Bikramganj,,,,,,,,,,,
,,Kakiriguma,Bhamini,,,,,,,,Karakat,,,,,,,,,,,
,,Koraput Town,Kothuru,,,,,,,,Nasriganj,,,,,,,,,,,
,,Jeypore,Pathapatnam,,,,,,,,Sanjhauli,,,,,,,,,,,
,,Kundura,Meliaputti,,,,,,,,Nokha,,,,,,,,,,,
,,Boipariguda,Palasa,,,,,,,,Kargahar,,,,,,,,,,,
,,Machh kund,Mandasa,,,,,,,,Chenari,,,,,,,,,,,
,,Padua,Kanchili,,,,,,,,Sheosagar,,,,,,,,,,,
,,Nandapur,Ichchapuram,,,,,,,,Sasaram,,,,,,,,,,,
,,Similiguda,Kaviti,,,,,,,,Akorhi Gola,,,,,,,,,,,
,,Sunabeda,Sompeta,,,,,,,,Dehri,,,,,,,,,,,
,,Damonjodi,Vajrapukothuru,,,,,,,,Tilouthu,,,,,,,,,,,
,,Pottangi,Nandigam,,,,,,,,Aurangabad,,,,,,,,,,,
,,Kotiya,Hiramandalam,,,,,,,,Daudnagar,,,,,,,,,,,
,,Malkangiri,Palakonda,,,,,,,,Haspura,,,,,,,,,,,
,,Mathili,Vangara,,,,,,,,Goh,,,,,,,,,,,
,,Mudulipada,Regidi Amadalavalasa,,,,,,,,Rafiganj,,,,,,,,,,,
,,Chitrakonda,Lakshminarsupeta,,,,,,,,Obra,,,,,,,,,,,
,,Paparmetla,Saravakota,,,,,,,,Barun,,,,,,,,,,,
,,Jodamba,Tekkali,,,,,,,,Nabinagar,,,,,,,,,,,
,,Orkel,Santhabommali,,,,,,,,Kutumba,,,,,,,,,,,
,,Kalimela,Kotabommali,,,,,,,,Deo,,,,,,,,,,,
,,Podia,Jalumuru,,,,,,,,Madanpur,,,,,,,,,,,
,,Motu,Sarubujjili,,,,,,,,Gaya,,,,,,,,,,,
,,,Burja,,,,,,,,Konch,,,,,,,,,,,
,,,Santhakaviti,,,,,,,,Tikari,,,,,,,,,,,
,,,Rajam,,,,,,,,Belaganj,,,,,,,,,,,
,,,Ganguvarisigadam,,,,,,,,Khizirsarai,,,,,,,,,,,
,,,Amadalavalasa,,,,,,,,Neem Chak Bathani,,,,,,,,,,,
,,,Narasannapeta,,,,,,,,Muhra,,,,,,,,,,,
,,,Polaki,,,,,,,,Atri,,,,,,,,,,,
,,,Gara,,,,,,,,Manpur,,,,,,,,,,,
,,,Ponduru,,,,,,,,,,,,,,,,,,,
,,,Laveru,,,,,,,,Paraiya,,,,,,,,,,,
,,,Ranastalam,,,,,,,,Guraru,,,,,,,,,,,
,,,Etcherla,,,,,,,,Gurua,,,,,,,,,,,
,,,Vizianagaram,,,,,,,,Amas,,,,,,,,,,,
,,,Komarada,,,,,,,,Banke Bazar,,,,,,,,,,,
,,,Gummalakshmipuram,,,,,,,,Imamganj,,,,,,,,,,,
,,,Kurupam,,,,,,,,Dumaria,,,,,,,,,,,
,,,Jiyyammavalasa,,,,,,,,Sherghati,,,,,,,,,,,
,,,Garugubilli,,,,,,,,Dobhi,,,,,,,,,,,
,,,Parvathipuram,,,,,,,,Bodh Gaya,,,,,,,,,,,
,,,Makkuva,,,,,,,,Tan Kuppa,,,,,,,,,,,
,,,Seethanagaram,,,,,,,,Wazirganj,,,,,,,,,,,
,,,Balijipeta,,,,,,,,Fatehpur,,,,,,,,,,,
,,,Bobbili,,,,,,,,Barachatti,,,,,,,,,,,
,,,Salur,,,,,,,,Nawada,,,,,,,,,,,
,,,Pachipenta,,,,,,,,Nardiganj,,,,,,,,,,,
,,,Ramabhadrapuram,,,,,,,,Warisaliganj,,,,,,,,,,,
,,,Badangi,,,,,,,,Kashi Chak,,,,,,,,,,,
,,,Therlam,,,,,,,,Pakribarawan,,,,,,,,,,,
,,,Merakamudidam,,,,,,,,Kawakol,,,,,,,,,,,
,,,Dattirajeru,,,,,,,,Roh,,,,,,,,,,,
,,,Mentada,,,,,,,,Gobindpur,,,,,,,,,,,
,,,Gajapathinagaram,,,,,,,,Akbarpur,,,,,,,,,,,
,,,Garividi,,,,,,,,Hisua,,,,,,,,,,,
,,,Cheepurupalle,,,,,,,,Narhat,,,,,,,,,,,
,,,Gurla,,,,,,,,Meskaur,,,,,,,,,,,
,,,Bondapalle,,,,,,,,Sirdala,,,,,,,,,,,
,,,Gantyada,,,,,,,,Rajauli,,,,,,,,,,,
,,,Srungavarapukota,,,,,,,,Jamui,,,,,,,,,,,
,,,Vepada,,,,,,,,Islamnagar Aliganj,,,,,,,,,,,
,,,Lakkavarapukota,,,,,,,,Sikandra,,,,,,,,,,,
,,,Kothavalasa,,,,,,,,Barhat,,,,,,,,,,,
,,,Jami,,,,,,,,Lakshmipur,,,,,,,,,,,
,,,Nellimarla,,,,,,,,Jhajha,,,,,,,,,,,
,,,Pusapatirega,,,,,,,,Gidhaur,,,,,,,,,,,
,,,Denkada,,,,,,,,Khaira,,,,,,,,,,,
,,,Bhogapuram,,,,,,,,Sono,,,,,,,,,,,
,,,Visakhapatnam,,,,,,,,Chakai,,,,,,,,,,,
,,,Munchingi Puttu,,,,,,,,Jehanabad,,,,,,,,,,,
,,,Peda Bayalu,,,,,,,,Ratni Faridpur,,,,,,,,,,,
,,,Dumbriguda,,,,,,,,Kako,,,,,,,,,,,
,,,Araku Valley,,,,,,,,Modanganj,,,,,,,,,,,
,,,Ananthagiri,,,,,,,,Ghoshi,,,,,,,,,,,
,,,Hukumpeta,,,,,,,,Makhdumpur,,,,,,,,,,,
,,,Paderu,,,,,,,,Hulasganj,,,,,,,,,,,
,,,G.Madugula,,,,,,,,Arwal,,,,,,,,,,,
,,,Chintapalle,,,,,,,,Kaler,,,,,,,,,,,
,,,Gudem Kotha Veedhi,,,,,,,,Karpi,,,,,,,,,,,
,,,Koyyuru,,,,,,,,Sonbhadra Banshi Suryapur,,,,,,,,,,,
,,,Nathavaram,,,,,,,,Kurtha,,,,,,,,,,,
,,,Golugonda,,,,,,,,,,,,,,,,,,,
,,,Narsipatnam,,,,,,,,,,,,,,,,,,,
,,,Rolugunta,,,,,,,,,,,,,,,,,,,
,,,Ravikamatham,,,,,,,,,,,,,,,,,,,
,,,Madugula,,,,,,,,,,,,,,,,,,,
,,,Cheedikada,,,,,,,,,,,,,,,,,,,
,,,Devarapalle,,,,,,,,,,,,,,,,,,,
,,,K.Kotapadu,,,,,,,,,,,,,,,,,,,
,,,Sabbavaram,,,,,,,,,,,,,,,,,,,
,,,Pendurthi,,,,,,,,,,,,,,,,,,,
,,,Anandapuram,,,,,,,,,,,,,,,,,,,
,,,Padmanabham,,,,,,,,,,,,,,,,,,,
,,,Bheemunipatnam,,,,,,,,,,,,,,,,,,,
,,,Pedagantyada,,,,,,,,,,,,,,,,,,,
,,,Gajuwaka,,,,,,,,,,,,,,,,,,,
,,,Paravada,,,,,,,,,,,,,,,,,,,
,,,Anakapalle,,,,,,,,,,,,,,,,,,,
,,,Chodavaram,,,,,,,,,,,,,,,,,,,
,,,Butchayyapeta,,,,,,,,,,,,,,,,,,,
,,,Kotauratla,,,,,,,,,,,,,,,,,,,
,,,Makavarapalem,,,,,,,,,,,,,,,,,,,
,,,Kasimkota,,,,,,,,,,,,,,,,,,,
,,,Munagapaka,,,,,,,,,,,,,,,,,,,
,,,Atchutapuram,,,,,,,,,,,,,,,,,,,
,,,Yelamanchili,,,,,,,,,,,,,,,,,,,
,,,Nakkapalle,,,,,,,,,,,,,,,,,,,
,,,Payakaraopeta,,,,,,,,,,,,,,,,,,,
,,,S.Rayavaram,,,,,,,,,,,,,,,,,,,
,,,Rambilli,,,,,,,,,,,,,,,,,,,
,,,East Godavari,,,,,,,,,,,,,,,,,,,
,,,Maredumilli,,,,,,,,,,,,,,,,,,,
,,,Devipatnam,,,,,,,,,,,,,,,,,,,
,,,Y. Ramavaram,,,,,,,,,,,,,,,,,,,
,,,Addateegala,,,,,,,,,,,,,,,,,,,
,,,Rajavommangi,,,,,,,,,,,,,,,,,,,
,,,Kotananduru,,,,,,,,,,,,,,,,,,,
,,,Tuni,,,,,,,,,,,,,,,,,,,
,,,Rowthulapudi,,,,,,,,,,,,,,,,,,,
,,,Sankhavaram,,,,,,,,,,,,,,,,,,,
,,,Yeleswaram,,,,,,,,,,,,,,,,,,,
,,,Gangavaram,,,,,,,,,,,,,,,,,,,
,,,Rampachodavaram,,,,,,,,,,,,,,,,,,,
,,,Gokavaram,,,,,,,,,,,,,,,,,,,
,,,Jaggampeta,,,,,,,,,,,,,,,,,,,
,,,Kirlampudi,,,,,,,,,,,,,,,,,,,
,,,Prathipadu,,,,,,,,,,,,,,,,,,,
,,,Thondangi,,,,,,,,,,,,,,,,,,,
,,,Gollaprolu,,,,,,,,,,,,,,,,,,,
,,,Peddapuram,,,,,,,,,,,,,,,,,,,
,,,Gandepalle,,,,,,,,,,,,,,,,,,,
,,,Korukonda,,,,,,,,,,,,,,,,,,,
,,,Rajahmundry,,,,,,,,,,,,,,,,,,,
,,,Rajahmundry Rural,,,,,,,,,,,,,,,,,,,
,,,Rajanagaram,,,,,,,,,,,,,,,,,,,
,,,Rangampeta,,,,,,,,,,,,,,,,,,,
,,,Samalkota,,,,,,,,,,,,,,,,,,,
,,,Pithapuram,,,,,,,,,,,,,,,,,,,
,,,Kothapalle,,,,,,,,,,,,,,,,,,,
,,,Kakinada,,,,,,,,,,,,,,,,,,,
,,,Pedapudi,,,,,,,,,,,,,,,,,,,
,,,Biccavolu,,,,,,,,,,,,,,,,,,,
,,,Anaparthy,,,,,,,,,,,,,,,,,,,
,,,Kadiam,,,,,,,,,,,,,,,,,,,
,,,Atreyapuram,,,,,,,,,,,,,,,,,,,
,,,Mandapeta,,,,,,,,,,,,,,,,,,,
,,,Rayavaram,,,,,,,,,,,,,,,,,,,
,,,Karapa,,,,,,,,,,,,,,,,,,,
,,,Kajuluru,,,,,,,,,,,,,,,,,,,
,,,Alamuru,,,,,,,,,,,,,,,,,,,
,,,Ravulapalem,,,,,,,,,,,,,,,,,,,
,,,Kothapeta,,,,,,,,,,,,,,,,,,,
,,,Kapileswarapuram,,,,,,,,,,,,,,,,,,,
,,,Pamarru,,,,,,,,,,,,,,,,,,,
,,,Thallarevu,,,,,,,,,,,,,,,,,,,
,,,I. Polavaram,,,,,,,,,,,,,,,,,,,
,,,Mummidivaram,,,,,,,,,,,,,,,,,,,
,,,Ainavilli,,,,,,,,,,,,,,,,,,,
,,,P.Gannavaram,,,,,,,,,,,,,,,,,,,
,,,Ambajipeta,,,,,,,,,,,,,,,,,,,
,,,Mamidikuduru,,,,,,,,,,,,,,,,,,,
,,,Razole,,,,,,,,,,,,,,,,,,,
,,,Malikipuram,,,,,,,,,,,,,,,,,,,
,,,Sakhinetipalle,,,,,,,,,,,,,,,,,,,
,,,Allavaram,,,,,,,,,,,,,,,,,,,
,,,Amalapuram,,,,,,,,,,,,,,,,,,,
,,,Uppalaguptam,,,,,,,,,,,,,,,,,,,
,,,Katrenikona,,,,,,,,,,,,,,,,,,,
,,,West Godavari,,,,,,,,,,,,,,,,,,,
,,,Chintalapudi,,,,,,,,,,,,,,,,,,,
,,,Lingapalem,,,,,,,,,,,,,,,,,,,
,,,T.Narasapuram,,,,,,,,,,,,,,,,,,,
,,,Jeelugu Milli,,,,,,,,,,,,,,,,,,,
,,,Buttayagudem,,,,,,,,,,,,,,,,,,,
,,,Polavaram,,,,,,,,,,,,,,,,,,,
,,,Tallapudi,,,,,,,,,,,,,,,,,,,
,,,Gopalapuram,,,,,,,,,,,,,,,,,,,
,,,Koyyalagudem,,,,,,,,,,,,,,,,,,,
,,,Jangareddigudem,,,,,,,,,,,,,,,,,,,
,,,Kamavarapukota,,,,,,,,,,,,,,,,,,,
,,,Dwarakatirumala,,,,,,,,,,,,,,,,,,,
,,,Nallajerla,,,,,,,,,,,,,,,,,,,
,,,Kovvur,,,,,,,,,,,,,,,,,,,
,,,Chagallu,,,,,,,,,,,,,,,,,,,
,,,Nidadavole,,,,,,,,,,,,,,,,,,,
,,,Tadepalligudem,,,,,,,,,,,,,,,,,,,
,,,Unguturu,,,,,,,,,,,,,,,,,,,
,,,Bhimadole,,,,,,,,,,,,,,,,,,,
,,,Pedavegi,,,,,,,,,,,,,,,,,,,
,,,Pedapadu,,,,,,,,,,,,,,,,,,,
,,,Eluru,,,,,,,,,,,,,,,,,,,
,,,Denduluru,,,,,,,,,,,,,,,,,,,
,,,Nidamarru,,,,,,,,,,,,,,,,,,,
,,,Pentapadu,,,,,,,,,,,,,,,,,,,
,,,Undrajavaram,,,,,,,,,,,,,,,,,,,
,,,Peravali,,,,,,,,,,,,,,,,,,,
,,,Tanuku,,,,,,,,,,,,,,,,,,,
,,,Attili,,,,,,,,,,,,,,,,,,,
,,,Ganapavaram,,,,,,,,,,,,,,,,,,,
,,,Akividu,,,,,,,,,,,,,,,,,,,
,,,Undi,,,,,,,,,,,,,,,,,,,
,,,Palacoderu,,,,,,,,,,,,,,,,,,,
,,,Penumantra,,,,,,,,,,,,,,,,,,,
,,,Iragavaram,,,,,,,,,,,,,,,,,,,
,,,Penugonda,,,,,,,,,,,,,,,,,,,
,,,Achanta,,,,,,,,,,,,,,,,,,,
,,,Poduru,,,,,,,,,,,,,,,,,,,
,,,Veeravasaram,,,,,,,,,,,,,,,,,,,
,,,Bhimavaram,,,,,,,,,,,,,,,,,,,
,,,Kalla,,,,,,,,,,,,,,,,,,,
,,,Mogalthur,,,,,,,,,,,,,,,,,,,
,,,Narasapuram,,,,,,,,,,,,,,,,,,,
,,,Palacole,,,,,,,,,,,,,,,,,,,
,,,Krishna,,,,,,,,,,,,,,,,,,,
,,,Vatsavai,,,,,,,,,,,,,,,,,,,
,,,Jaggayyapeta,,,,,,,,,,,,,,,,,,,
,,,Penuganchiprolu,,,,,,,,,,,,,,,,,,,
,,,Nandigama,,,,,,,,,,,,,,,,,,,
,,,Veerullapadu,,,,,,,,,,,,,,,,,,,
,,,Mylavaram,,,,,,,,,,,,,,,,,,,
,,,Gampalagudem,,,,,,,,,,,,,,,,,,,
,,,Tiruvuru,,,,,,,,,,,,,,,,,,,
,,,A.Konduru,,,,,,,,,,,,,,,,,,,
,,,Reddigudem,,,,,,,,,,,,,,,,,,,
,,,Vissannapet,,,,,,,,,,,,,,,,,,,
,,,Chatrai,,,,,,,,,,,,,,,,,,,
,,,Musunuru,,,,,,,,,,,,,,,,,,,
,,,Nuzvid,,,,,,,,,,,,,,,,,,,
,,,Bapulapadu,,,,,,,,,,,,,,,,,,,
,,,Agiripalle,,,,,,,,,,,,,,,,,,,
,,,G.Konduru,,,,,,,,,,,,,,,,,,,
,,,Kanchikacherla,,,,,,,,,,,,,,,,,,,
,,,Chandarlapadu,,,,,,,,,,,,,,,,,,,
,,,Vijayawada,,,,,,,,,,,,,,,,,,,
,,,Gannavaram,,,,,,,,,,,,,,,,,,,
,,,Nandivada,,,,,,,,,,,,,,,,,,,
,,,Mandavalli,,,,,,,,,,,,,,,,,,,
,,,Kaikalur,,,,,,,,,,,,,,,,,,,
,,,Kalidindi,,,,,,,,,,,,,,,,,,,
,,,Kruthivennu,,,,,,,,,,,,,,,,,,,
,,,Bantumilli,,,,,,,,,,,,,,,,,,,
,,,Mudinepalle,,,,,,,,,,,,,,,,,,,
,,,Gudivada,,,,,,,,,,,,,,,,,,,
,,,Pedaparupudi,,,,,,,,,,,,,,,,,,,
,,,Kankipadu,,,,,,,,,,,,,,,,,,,
,,,Penamaluru,,,,,,,,,,,,,,,,,,,
,,,Thotlavalluru,,,,,,,,,,,,,,,,,,,
,,,Pamidimukkala,,,,,,,,,,,,,,,,,,,
,,,Vuyyuru,,,,,,,,,,,,,,,,,,,
,,,Gudlavalleru,,,,,,,,,,,,,,,,,,,
,,,Pedana,,,,,,,,,,,,,,,,,,,
,,,Guduru,,,,,,,,,,,,,,,,,,,
,,,Movva,,,,,,,,,,,,,,,,,,,
,,,Ghantasala,,,,,,,,,,,,,,,,,,,
,,,Machilipatnam,,,,,,,,,,,,,,,,,,,
,,,Challapalle,,,,,,,,,,,,,,,,,,,
,,,Mopidevi,,,,,,,,,,,,,,,,,,,
,,,Avanigadda,,,,,,,,,,,,,,,,,,,
,,,Nagayalanka,,,,,,,,,,,,,,,,,,,
,,,Koduru,,,,,,,,,,,,,,,,,,,
,,,Guntur,,,,,,,,,,,,,,,,,,,
,,,Macherla,,,,,,,,,,,,,,,,,,,
,,,Veldurthi,,,,,,,,,,,,,,,,,,,
,,,Durgi,,,,,,,,,,,,,,,,,,,
,,,Rentachintala,,,,,,,,,,,,,,,,,,,
,,,Gurazala,,,,,,,,,,,,,,,,,,,
,,,Dachepalle,,,,,,,,,,,,,,,,,,,
,,,Karempudi,,,,,,,,,,,,,,,,,,,
,,,Piduguralla,,,,,,,,,,,,,,,,,,,
,,,Machavaram,,,,,,,,,,,,,,,,,,,
,,,Bellamkonda,,,,,,,,,,,,,,,,,,,
,,,Atchampet,,,,,,,,,,,,,,,,,,,
,,,Krosuru,,,,,,,,,,,,,,,,,,,
,,,Amaravathi,,,,,,,,,,,,,,,,,,,
,,,Thullur,,,,,,,,,,,,,,,,,,,
,,,Tadepalle,,,,,,,,,,,,,,,,,,,
,,,Mangalagiri,,,,,,,,,,,,,,,,,,,
,,,Tadikonda,,,,,,,,,,,,,,,,,,,
,,,Pedakurapadu,,,,,,,,,,,,,,,,,,,
,,,Sattenapalle,,,,,,,,,,,,,,,,,,,
,,,Rajupalem,,,,,,,,,,,,,,,,,,,
,,,Nekarikallu,,,,,,,,,,,,,,,,,,,
,,,Bollapalle,,,,,,,,,,,,,,,,,,,
,,,Vinukonda,,,,,,,,,,,,,,,,,,,
,,,Nuzendla,,,,,,,,,,,,,,,,,,,
,,,Savalyapuram H/O Kanamarlapudi,,,,,,,,,,,,,,,,,,,
,,,Ipur,,,,,,,,,,,,,,,,,,,
,,,Rompicherla,,,,,,,,,,,,,,,,,,,
,,,Narasaraopet,,,,,,,,,,,,,,,,,,,
,,,Muppalla,,,,,,,,,,,,,,,,,,,
,,,Nadendla,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,Edlapadu,,,,,,,,,,,,,,,,,,,
,,,Phirangipuram,,,,,,,,,,,,,,,,,,,
,,,Medikonduru,,,,,,,,,,,,,,,,,,,
,,,Pedakakani,,,,,,,,,,,,,,,,,,,
,,,Duggirala,,,,,,,,,,,,,,,,,,,
,,,Kollipara,,,,,,,,,,,,,,,,,,,
,,,Tenali,,,,,,,,,,,,,,,,,,,
,,,Chebrolu,,,,,,,,,,,,,,,,,,,
,,,Vatticherukuru,,,,,,,,,,,,,,,,,,,
,,,Pedanandipadu,,,,,,,,,,,,,,,,,,,
,,,Kakumanu,,,,,,,,,,,,,,,,,,,
,,,Ponnur,,,,,,,,,,,,,,,,,,,
,,,Tsundur,,,,,,,,,,,,,,,,,,,
,,,Amruthalur,,,,,,,,,,,,,,,,,,,
,,,Vemuru,,,,,,,,,,,,,,,,,,,
,,,Kollur,,,,,,,,,,,,,,,,,,,
,,,Bhattiprolu,,,,,,,,,,,,,,,,,,,
,,,Cherukupalle H/O Arumbaka,,,,,,,,,,,,,,,,,,,
,,,Pittalavanipalem,,,,,,,,,,,,,,,,,,,
,,,Karlapalem,,,,,,,,,,,,,,,,,,,
,,,Bapatla,,,,,,,,,,,,,,,,,,,
,,,Nizampatnam,,,,,,,,,,,,,,,,,,,
,,,Nagaram,,,,,,,,,,,,,,,,,,,
,,,Repalle,,,,,,,,,,,,,,,,,,,
,,,Prakasam,,,,,,,,,,,,,,,,,,,
,,,Yerragondapalem,,,,,,,,,,,,,,,,,,,
,,,Pullalacheruvu,,,,,,,,,,,,,,,,,,,
,,,Tripuranthakam,,,,,,,,,,,,,,,,,,,
,,,Dornala,,,,,,,,,,,,,,,,,,,
,,,Peda Araveedu,,,,,,,,,,,,,,,,,,,
,,,Donakonda,,,,,,,,,,,,,,,,,,,
,,,Kurichedu,,,,,,,,,,,,,,,,,,,
,,,Santhamaguluru,,,,,,,,,,,,,,,,,,,
,,,Ballikurava,,,,,,,,,,,,,,,,,,,
,,,Martur,,,,,,,,,,,,,,,,,,,
,,,Yeddana Pudi,,,,,,,,,,,,,,,,,,,
,,,Parchur,,,,,,,,,,,,,,,,,,,
,,,Karamchedu,,,,,,,,,,,,,,,,,,,
,,,Inkollu,,,,,,,,,,,,,,,,,,,
,,,Janakavarampanguluru,,,,,,,,,,,,,,,,,,,
,,,Addanki,,,,,,,,,,,,,,,,,,,
,,,Mundlamuru,,,,,,,,,,,,,,,,,,,
,,,Darsi,,,,,,,,,,,,,,,,,,,
,,,Markapur,,,,,,,,,,,,,,,,,,,
,,,Ardhaveedu,,,,,,,,,,,,,,,,,,,
,,,Cumbum,,,,,,,,,,,,,,,,,,,
,,,Tarlupadu,,,,,,,,,,,,,,,,,,,
,,,Konakanamitla,,,,,,,,,,,,,,,,,,,
,,,Podili,,,,,,,,,,,,,,,,,,,
,,,Thallur,,,,,,,,,,,,,,,,,,,
,,,Korisapadu,,,,,,,,,,,,,,,,,,,
,,,Chirala,,,,,,,,,,,,,,,,,,,
,,,Vetapalem,,,,,,,,,,,,,,,,,,,
,,,Chinaganjam,,,,,,,,,,,,,,,,,,,
,,,Naguluppala Padu,,,,,,,,,,,,,,,,,,,
,,,Maddipadu,,,,,,,,,,,,,,,,,,,
,,,Chimakurthi,,,,,,,,,,,,,,,,,,,
,,,Marripudi,,,,,,,,,,,,,,,,,,,
,,,Hanumanthuni Padu,,,,,,,,,,,,,,,,,,,
,,,Bestawaripeta,,,,,,,,,,,,,,,,,,,
